[2024-04-09T00:35:19.646622+00:00] main.ERROR: Code: 404 | Message: Api Unknown handler error | File: /var/www/levach/backend/api/handlers/UnknownHandler.php | Line: 12 | Trace: #0 /var/www/levach/backend/base/BaseHandlerRoute.php(51): Api\Handlers\UnknownHandler->Init() #1 /var/www/levach/backend/api/core/Routes.php(89): Base\BaseHandlerRoute->Handle() #2 /var/www/levach/backend/vendor/slim/slim/Slim/Handlers/Strategies/RequestResponse.php(38): Api\Core\Routes::Api\Core\{closure}(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #3 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(358): Slim\Handlers\Strategies\RequestResponse->__invoke(Object(Closure), Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #4 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #5 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #6 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(315): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #7 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/RouteRunner.php(68): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #8 /var/www/levach/backend/vendor/slim/slim/Slim/Middleware/ErrorMiddleware.php(76): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #9 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(121): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #10 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Psr\Http\Server\RequestHandlerInterface@anonymous->handle(Object(Slim\Http\ServerRequest)) #11 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(199): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #12 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(183): Slim\App->handle(Object(Slim\Http\ServerRequest)) #13 /var/www/levach/backend/index.php(45): Slim\App->run() #14 {main} [] []
[2024-04-09T00:35:48.254052+00:00] main.ERROR: Code: 404 | Message: Api Unknown handler error | File: /var/www/levach/backend/api/handlers/UnknownHandler.php | Line: 12 | Trace: #0 /var/www/levach/backend/base/BaseHandlerRoute.php(51): Api\Handlers\UnknownHandler->Init() #1 /var/www/levach/backend/api/core/Routes.php(89): Base\BaseHandlerRoute->Handle() #2 /var/www/levach/backend/vendor/slim/slim/Slim/Handlers/Strategies/RequestResponse.php(38): Api\Core\Routes::Api\Core\{closure}(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #3 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(358): Slim\Handlers\Strategies\RequestResponse->__invoke(Object(Closure), Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #4 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #5 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #6 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(315): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #7 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/RouteRunner.php(68): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #8 /var/www/levach/backend/vendor/slim/slim/Slim/Middleware/ErrorMiddleware.php(76): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #9 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(121): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #10 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Psr\Http\Server\RequestHandlerInterface@anonymous->handle(Object(Slim\Http\ServerRequest)) #11 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(199): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #12 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(183): Slim\App->handle(Object(Slim\Http\ServerRequest)) #13 /var/www/levach/backend/index.php(45): Slim\App->run() #14 {main} [] []
[2024-04-09T00:35:49.146505+00:00] main.ERROR: Code: 404 | Message: Api Unknown handler error | File: /var/www/levach/backend/api/handlers/UnknownHandler.php | Line: 12 | Trace: #0 /var/www/levach/backend/base/BaseHandlerRoute.php(51): Api\Handlers\UnknownHandler->Init() #1 /var/www/levach/backend/api/core/Routes.php(89): Base\BaseHandlerRoute->Handle() #2 /var/www/levach/backend/vendor/slim/slim/Slim/Handlers/Strategies/RequestResponse.php(38): Api\Core\Routes::Api\Core\{closure}(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #3 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(358): Slim\Handlers\Strategies\RequestResponse->__invoke(Object(Closure), Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #4 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #5 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #6 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(315): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #7 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/RouteRunner.php(68): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #8 /var/www/levach/backend/vendor/slim/slim/Slim/Middleware/ErrorMiddleware.php(76): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #9 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(121): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #10 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Psr\Http\Server\RequestHandlerInterface@anonymous->handle(Object(Slim\Http\ServerRequest)) #11 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(199): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #12 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(183): Slim\App->handle(Object(Slim\Http\ServerRequest)) #13 /var/www/levach/backend/index.php(45): Slim\App->run() #14 {main} [] []
[2024-04-09T00:40:34.851635+00:00] main.ERROR: Code: 404 | Message: Api Unknown handler error | File: /var/www/levach/backend/api/handlers/UnknownHandler.php | Line: 12 | Trace: #0 /var/www/levach/backend/base/BaseHandlerRoute.php(51): Api\Handlers\UnknownHandler->Init() #1 /var/www/levach/backend/api/core/Routes.php(89): Base\BaseHandlerRoute->Handle() #2 /var/www/levach/backend/vendor/slim/slim/Slim/Handlers/Strategies/RequestResponse.php(38): Api\Core\Routes::Api\Core\{closure}(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #3 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(358): Slim\Handlers\Strategies\RequestResponse->__invoke(Object(Closure), Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #4 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #5 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #6 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(315): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #7 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/RouteRunner.php(68): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #8 /var/www/levach/backend/vendor/slim/slim/Slim/Middleware/ErrorMiddleware.php(76): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #9 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(121): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #10 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Psr\Http\Server\RequestHandlerInterface@anonymous->handle(Object(Slim\Http\ServerRequest)) #11 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(199): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #12 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(183): Slim\App->handle(Object(Slim\Http\ServerRequest)) #13 /var/www/levach/backend/index.php(45): Slim\App->run() #14 {main} [] []
[2024-04-09T00:40:39.504215+00:00] main.WARNING: Code: 404 | Message: LoadImage File not found, filePath=/var/www/levach/backend/api/handlers/../../../media/img/lefwefefw | File: /var/www/levach/backend/api/handlers/MediaLoadImageHandler.php | Line: 36 | Trace: #0 /var/www/levach/backend/base/BaseHandlerRoute.php(52): Api\Handlers\MediaLoadImageHandler->Process() #1 /var/www/levach/backend/api/core/Routes.php(79): Base\BaseHandlerRoute->Handle() #2 /var/www/levach/backend/vendor/slim/slim/Slim/Handlers/Strategies/RequestResponse.php(38): Api\Core\Routes::Api\Core\{closure}(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #3 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(358): Slim\Handlers\Strategies\RequestResponse->__invoke(Object(Closure), Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #4 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #5 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #6 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(315): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #7 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/RouteRunner.php(68): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #8 /var/www/levach/backend/vendor/slim/slim/Slim/Middleware/ErrorMiddleware.php(76): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #9 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(121): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #10 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Psr\Http\Server\RequestHandlerInterface@anonymous->handle(Object(Slim\Http\ServerRequest)) #11 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(199): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #12 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(183): Slim\App->handle(Object(Slim\Http\ServerRequest)) #13 /var/www/levach/backend/index.php(45): Slim\App->run() #14 {main} [] []
[2024-04-09T00:53:25.612053+00:00] main.WARNING: Code: 400 | Message: Invalid article title length | File: /var/www/levach/backend/api/handlers/ArticleNewHandler.php | Line: 66 | Trace: #0 /var/www/levach/backend/base/BaseHandlerRoute.php(52): Api\Handlers\ArticleNewHandler->Process() #1 /var/www/levach/backend/api/core/Routes.php(55): Base\BaseHandlerRoute->Handle() #2 /var/www/levach/backend/vendor/slim/slim/Slim/Handlers/Strategies/RequestResponse.php(38): Api\Core\Routes::Api\Core\{closure}(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #3 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(358): Slim\Handlers\Strategies\RequestResponse->__invoke(Object(Closure), Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #4 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #5 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #6 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(315): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #7 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/RouteRunner.php(68): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #8 /var/www/levach/backend/vendor/slim/slim/Slim/Middleware/ErrorMiddleware.php(76): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #9 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(121): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #10 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Psr\Http\Server\RequestHandlerInterface@anonymous->handle(Object(Slim\Http\ServerRequest)) #11 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(199): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #12 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(183): Slim\App->handle(Object(Slim\Http\ServerRequest)) #13 /var/www/levach/backend/index.php(45): Slim\App->run() #14 {main} [] []
[2024-04-09T00:53:37.198350+00:00] main.WARNING: Code: 400 | Message: Invalid article title length | File: /var/www/levach/backend/api/handlers/ArticleNewHandler.php | Line: 66 | Trace: #0 /var/www/levach/backend/base/BaseHandlerRoute.php(52): Api\Handlers\ArticleNewHandler->Process() #1 /var/www/levach/backend/api/core/Routes.php(55): Base\BaseHandlerRoute->Handle() #2 /var/www/levach/backend/vendor/slim/slim/Slim/Handlers/Strategies/RequestResponse.php(38): Api\Core\Routes::Api\Core\{closure}(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #3 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(358): Slim\Handlers\Strategies\RequestResponse->__invoke(Object(Closure), Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #4 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #5 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #6 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(315): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #7 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/RouteRunner.php(68): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #8 /var/www/levach/backend/vendor/slim/slim/Slim/Middleware/ErrorMiddleware.php(76): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #9 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(121): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #10 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Psr\Http\Server\RequestHandlerInterface@anonymous->handle(Object(Slim\Http\ServerRequest)) #11 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(199): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #12 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(183): Slim\App->handle(Object(Slim\Http\ServerRequest)) #13 /var/www/levach/backend/index.php(45): Slim\App->run() #14 {main} [] []
[2024-04-09T00:53:40.166066+00:00] main.WARNING: Code: 400 | Message: Invalid article title length | File: /var/www/levach/backend/api/handlers/ArticleNewHandler.php | Line: 66 | Trace: #0 /var/www/levach/backend/base/BaseHandlerRoute.php(52): Api\Handlers\ArticleNewHandler->Process() #1 /var/www/levach/backend/api/core/Routes.php(55): Base\BaseHandlerRoute->Handle() #2 /var/www/levach/backend/vendor/slim/slim/Slim/Handlers/Strategies/RequestResponse.php(38): Api\Core\Routes::Api\Core\{closure}(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #3 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(358): Slim\Handlers\Strategies\RequestResponse->__invoke(Object(Closure), Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #4 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #5 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #6 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(315): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #7 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/RouteRunner.php(68): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #8 /var/www/levach/backend/vendor/slim/slim/Slim/Middleware/ErrorMiddleware.php(76): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #9 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(121): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #10 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Psr\Http\Server\RequestHandlerInterface@anonymous->handle(Object(Slim\Http\ServerRequest)) #11 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(199): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #12 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(183): Slim\App->handle(Object(Slim\Http\ServerRequest)) #13 /var/www/levach/backend/index.php(45): Slim\App->run() #14 {main} [] []
[2024-04-09T00:53:45.007679+00:00] main.WARNING: Code: 400 | Message: Invalid article title length | File: /var/www/levach/backend/api/handlers/ArticleNewHandler.php | Line: 66 | Trace: #0 /var/www/levach/backend/base/BaseHandlerRoute.php(52): Api\Handlers\ArticleNewHandler->Process() #1 /var/www/levach/backend/api/core/Routes.php(55): Base\BaseHandlerRoute->Handle() #2 /var/www/levach/backend/vendor/slim/slim/Slim/Handlers/Strategies/RequestResponse.php(38): Api\Core\Routes::Api\Core\{closure}(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #3 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(358): Slim\Handlers\Strategies\RequestResponse->__invoke(Object(Closure), Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #4 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #5 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #6 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(315): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #7 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/RouteRunner.php(68): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #8 /var/www/levach/backend/vendor/slim/slim/Slim/Middleware/ErrorMiddleware.php(76): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #9 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(121): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #10 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Psr\Http\Server\RequestHandlerInterface@anonymous->handle(Object(Slim\Http\ServerRequest)) #11 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(199): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #12 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(183): Slim\App->handle(Object(Slim\Http\ServerRequest)) #13 /var/www/levach/backend/index.php(45): Slim\App->run() #14 {main} [] []
[2024-04-09T00:56:12.987117+00:00] main.WARNING: Code: 400 | Message: Invalid article title length | File: /var/www/levach/backend/api/handlers/ArticleNewHandler.php | Line: 66 | Trace: #0 /var/www/levach/backend/base/BaseHandlerRoute.php(52): Api\Handlers\ArticleNewHandler->Process() #1 /var/www/levach/backend/api/core/Routes.php(55): Base\BaseHandlerRoute->Handle() #2 /var/www/levach/backend/vendor/slim/slim/Slim/Handlers/Strategies/RequestResponse.php(38): Api\Core\Routes::Api\Core\{closure}(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #3 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(358): Slim\Handlers\Strategies\RequestResponse->__invoke(Object(Closure), Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #4 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #5 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #6 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(315): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #7 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/RouteRunner.php(68): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #8 /var/www/levach/backend/vendor/slim/slim/Slim/Middleware/ErrorMiddleware.php(76): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #9 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(121): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #10 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Psr\Http\Server\RequestHandlerInterface@anonymous->handle(Object(Slim\Http\ServerRequest)) #11 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(199): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #12 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(183): Slim\App->handle(Object(Slim\Http\ServerRequest)) #13 /var/www/levach/backend/index.php(45): Slim\App->run() #14 {main} [] []
[2024-04-09T00:57:14.997951+00:00] main.CRITICAL: Code: 0 | Message: Cannot assign null to property Api\Handlers\ArticleNewHandler::$data of type string | File: /var/www/levach/backend/api/handlers/ArticleNewHandler.php | Line: 24 | Trace: #0 /var/www/levach/backend/base/BaseHandlerRoute.php(51): Api\Handlers\ArticleNewHandler->Init() #1 /var/www/levach/backend/api/core/Routes.php(55): Base\BaseHandlerRoute->Handle() #2 /var/www/levach/backend/vendor/slim/slim/Slim/Handlers/Strategies/RequestResponse.php(38): Api\Core\Routes::Api\Core\{closure}(Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #3 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(358): Slim\Handlers\Strategies\RequestResponse->__invoke(Object(Closure), Object(Slim\Http\ServerRequest), Object(Slim\Http\Response), Array) #4 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\Routing\Route->handle(Object(Slim\Http\ServerRequest)) #5 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #6 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/Route.php(315): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #7 /var/www/levach/backend/vendor/slim/slim/Slim/Routing/RouteRunner.php(68): Slim\Routing\Route->run(Object(Slim\Http\ServerRequest)) #8 /var/www/levach/backend/vendor/slim/slim/Slim/Middleware/ErrorMiddleware.php(76): Slim\Routing\RouteRunner->handle(Object(Slim\Http\ServerRequest)) #9 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(121): Slim\Middleware\ErrorMiddleware->process(Object(Slim\Http\ServerRequest), Object(Slim\Routing\RouteRunner)) #10 /var/www/levach/backend/vendor/slim/slim/Slim/MiddlewareDispatcher.php(65): Psr\Http\Server\RequestHandlerInterface@anonymous->handle(Object(Slim\Http\ServerRequest)) #11 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(199): Slim\MiddlewareDispatcher->handle(Object(Slim\Http\ServerRequest)) #12 /var/www/levach/backend/vendor/slim/slim/Slim/App.php(183): Slim\App->handle(Object(Slim\Http\ServerRequest)) #13 /var/www/levach/backend/index.php(45): Slim\App->run() #14 {main} [] []
